city_id,grievance_id,ward_id,ward_name_raw,ward_name_canon,category_raw,sub_category_raw,category_norm,description,created_at,status,lat,lng
blr,20096325,,Rajamahal,,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 04:24:00,Rejected,,
blr,20096324,,Kavalbyrasandra,,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 04:24:00,Closed,,
blr,20096323,35.0,Aramane Nagar,Aramane Nagara,Forest,obstructions Branches / Trees.,OTHER,,2020-12-31 04:22:00,Resolved,,
blr,20096322,66.0,Subramanya Nagar,Subramanya Nagar,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 04:22:00,Closed,,
blr,20096321,38.0,H.M.T,HMT Ward,Road Maintenance(Engg),water stagnation,WATERLOGGING,,2020-12-31 04:20:00,Rejected,,
blr,20096320,80.0,Hoysala Nagar,Hoysala Nagar,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 04:17:00,Closed,,
blr,20096319,160.0,Rajarajeshwari Nagar,Rajarajeshwari Nagar,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 04:15:00,Closed,,
blr,20096318,11.0,Kuvempu Nagar,Kuvempu Nagar,Solid Waste (Garbage) Related,Segregation of waste is not done,GARBAGE,,2020-12-31 04:15:00,Closed,,
blr,20096317,33.0,Manorayanapalya,Manorayanapalya,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 04:14:00,Closed,,
blr,20096316,81.0,Vignana Nagar,Vijnana Nagar,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 04:10:00,Closed,,
blr,20096315,40.0,Dodda Bidarkallu,Dodda Bidarakallu,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 04:08:00,Closed,,
blr,20096314,12.0,Shettyhalli,Shettihalli,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 04:08:00,Rejected,,
blr,20096313,111.0,Shanthala Nagar,Shantala Nagar,Road Maintenance(Engg),Overhanging cables,ROADS,,2020-12-31 03:59:00,Closed,,
blr,20096312,44.0,Marappana Palya,Marappana Palya,CORONA COVID19,Government regulations not being followed,OTHER,,2020-12-31 03:34:00,Closed,,
blr,20096311,174.0,HSR Layout,HSR Layout,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 03:31:00,Closed,,
blr,20096310,44.0,Marappana Palya,Marappana Palya,Parks and Play grounds,Play Grounds,OTHER,,2020-12-31 03:29:00,Closed,,
blr,20096309,73.0,Kottigepalya,Kottegepalya,veterinary,Stray dog related complaints,OTHER,,2020-12-31 03:21:00,Closed,,
blr,20096308,192.0,Begur,Begur,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 03:19:00,Closed,,
